Entry	Mass
P77609	12,208
P0ABQ2	30,427
P0A9A2	18,894
P14407	60,105
P0AEP7	64,732
P0A6U8	52,822
P76621	37,360
P46859	19,543
P31450	23,724
P25552	54,871
P45579	39,092
P0DQD7	5,956
P69931	26,633
P25519	48,327
P0AAK1	21,873
P0ADG7	52,022
P24218	45,090
P76159	19,663
P0ADF0	3,291
P0A9M0	87,438
P0AE82	51,624
P0ABI8	74,368
P04036	28,757
P0AEE1	19,787
P77790	21,213
P76237	56,603
P78055	22,997
P32152	66,000
P25437	39,359
P0A6S7	36,362
P0AC84	28,434
P0A9C9	35,852
P10346	26,731
P77293	34,635
P23893	45,366
P06988	46,110
P0A6Y5	32,534
P0ACG8	15,496
P16431	64,980
P27294	25,296
P08200	45,757
P62617	16,898
P03819	67,796
P0A6K1	30,209
P42628	48,315
P0A9L3	22,216
P0ABX5	27,744
P32153	38,733
P0AC00	38,569
P23482	72,583
P39344	46,041
P39347	45,582
P03835	50,386
P0CE49	37,851
P0AGK8	17,337
P0A8P1	26,619
P75823	36,495
P30859	26,930
P0A6L2	31,270
P76316	35,153
P09557	6,964
P00393	47,359
P0ADH7	23,116
P0AAJ5	33,100
P0AEM0	16,081
P15286	36,668
P23522	27,384
P0AAB6	32,829
P37147	17,692
P29131	35,793
P77364	38,734
P0A6V5	12,082
P0AAG3	26,661
P0AET8	26,779
P04425	35,561
P0AET2	12,043
P0AES0	70,532
P28905	16,633
P77416	51,755
P71229	75,305
P37769	27,070
P31069	46,063
P0CE47	43,284
P0AEH5	11,306
P0A6Q3	18,969
P76552	42,807
P0DSF9	1,029
P31574	33,513
P64638	8,660
P45544	27,821
P52067	43,306
P0AC94	47,138
P0AER3	27,503
P60595	21,653
P0A6L9	20,138
P0A6Z3	71,423
P77625	23,008
P0ACF8	15,540
P0CF53	34,398
P0C0L9	7,732
P03959	59,189
P42906	17,519
P00811	41,556
P26612	56,639
P37309	13,253
P08555	47,163
P25736	26,709
Q47013	46,078
P0ABU5	22,982
P0AEJ2	42,932
P77218	36,067
P13024	34,747
P0A9R4	12,331
P76298	74,843
P75885	9,508
P0A6W5	17,641
P30128	18,527
P52101	53,330
P0AC59	24,350
P0A6W9	58,269
P45759	54,611
P45756	55,298
P06986	39,360
P76106	6,782
P0AFX0	10,750
P0CF26	19,758
P0CF12	9,868
P00893	62,984
Q46822	20,508
P0AAM3	9,732
P76542	45,382
P0CE54	37,851
P69441	23,586
P0AAC8	11,556
P0AEJ0	55,624
P21151	40,876
P0AAJ3	32,239
P45762	37,647
P67910	34,893
P33129	95,499
P0C058	16,093
P32053	46,652
P0AEW9	33,756
P25549	60,718
P76632	18,702
P0A9Y6	7,402
P0A986	7,684
P16700	37,615
P0A6K6	44,370
P24169	82,416
P69910	52,668
P06972	70,423
P0AB87	23,775
P0A6T9	13,811
Q47142	41,593
Q47141	32,838
P0ABC3	37,650
P37305	5,998
P0DPC6	3,016
P0A9W6	9,452
P24192	41,363
P76168	45,262
P0CE50	37,851
P46481	73,591
P0A6A8	8,640
P35340	56,177
P0ACS9	24,767
P77690	42,238
P33931	23,053
P76175	44,153
P36995	7,717
P46891	30,371
P0A6J1	22,321
P0ABN5	45,751
P0ACK8	27,362
P0AC62	9,137
P0AEU3	26,870
P16432	20,309
P0AEV9	17,057
P0CF88	44,267
P0ACP1	37,999
P54901	49,040
P08369	49,830
P17846	63,998
P13518	73,339
P0AEE5	35,713
P76015	38,215
P15723	59,383
P75742	54,159
P04335	47,009
P0AEN4	13,627
P0A9A9	16,795
P52074	45,110
P0AC69	12,879
P45763	44,540
P45751	16,846
P77453	15,577
P0CF27	19,758
P0CE55	37,851
P0CF90	44,281
P21865	98,718
P21420	40,302
P0A772	15,340
P0AFC7	25,056
P0AFH0	19,179
P0A912	18,824
P0ABF1	53,871
P76077	35,499
P16682	37,371
P16689	42,010
P75906	77,413
P23538	87,435
P07013	11,442
P0A7C8	15,597
P56580	33,332
P0AFM9	8,763
P08244	26,350
P0A7M2	9,006
P0CG19	24,425
P75898	42,219
P0ACH1	10,495
P0AGC3	73,353
P0A9H1	18,673
P31677	53,611
Q46889	41,339
P77737	37,198
P76082	27,237
Q46790	18,277
P16685	16,540
P0A799	41,118
P16678	27,831
P77170	21,852
P0A9K7	27,417
P0AFL1	30,541
P0ADY1	68,150
P0A7D4	47,345
P0A7D1	21,082
P33025	32,910
P23857	11,475
P0A7Y4	17,597
P68567	26,949
P75892	45,557
P58035	9,803
P75851	28,925
P0DP69	22,797
P16686	21,027
P15288	52,915
P55798	25,274
P42910	28,645
P77439	92,130
P64534	12,466
Q47152	20,042
P27240	27,461
P0A7M6	7,273
P0A7P5	5,380
Q2EEQ2	5,467
P37634	31,942
P37680	25,561
P0A8W2	16,353
P0AFE8	56,525
P37613	14,506
P75800	90,049
P21165	50,176
P18200	19,418
P08371	20,520
P0A7B1	80,432
P69789	17,626
P65870	13,773
P75746	25,800
P27129	39,040
P27830	39,754
P36999	30,419
P0A7S9	13,099
Q47622	61,565
P0ABW5	18,475
P40710	25,844
P0AFD4	36,219
P75920	44,690
P05459	41,368
Q46806	51,025
P56579	20,580
P19642	56,627
P09546	143,815
P0AG82	37,024
P55135	48,052
P0A7Z4	36,512
P77768	34,179
P33667	41,111
P0DTV7	4,249
P0A836	41,393
P69805	30,955
P77272	49,802
P02925	30,950
P37748	44,744
P77732	28,904
P0AG38	22,474
P0A944	16,610
P0AA10	16,019
P0A7N1	9,920
P75817	41,956
P0AG07	24,554
P60390	34,878
P38104	45,968
P38035	60,299
P46849	35,903
P31675	42,713
P77626	19,731
P0A840	26,900
P0AGE9	29,777
P77444	44,434
P27896	63,697
P10903	49,693
P75959	33,043
P33024	43,432
P0A7E5	60,374
P33919	66,413
P24173	35,544
P09377	32,315
P16917	159,395
P0AG74	13,846
P77179	24,459
P0AG93	35,382
P52043	53,824
P0AG86	17,277
P37679	32,455
P0AEU7	17,688
P0AC26	28,563
P0AFD6	20,538
P0AFC0	17,306
P0ADB1	12,021
P77181	21,325
P37649	74,381
P18133	45,897
P77743	58,649
P15033	10,016
P0AG55	18,904
P0C0R7	23,335
P0A8T7	155,160
P0ADL1	41,842
P32711	14,523
P43337	21,436
P33021	43,410
P67080	25,787
P37177	83,716
P08178	36,854
P39315	29,734
P75745	34,386
P0A894	32,492
P60240	109,769
P0AG40	34,734
P41409	33,823
P0A7Y0	25,550
P75897	25,209
P0AGD3	21,266
Q47537	34,266
P02918	93,636
P0A9N4	28,204
P15640	45,940
P0A7G6	37,973
P07010	9,235
P33596	19,424
P27241	32,920
P37692	39,042
P27125	37,320
P75864	78,854
P0AFW2	6,507
P0A7U3	10,430
P0AG76	44,714
P75893	17,749
P0ACM2	26,565
P39365	46,684
C1P5Z7	5,338
P32138	77,275
P76491	22,708
P11446	35,952
P75990	45,295
P39404	25,622
P0ADJ5	7,364
P37019	50,349
P0AE74	53,093
P37672	36,573
P37313	37,560
P0AEF8	37,497
P75938	25,912
P25527	51,080
P25526	51,720
P0A8Q3	13,107
Q46817	46,758
P0C8J8	47,109
P45758	70,698
P77247	24,330
P0A6D0	16,995
P31572	45,127
P0A6F9	10,387
P36566	29,814
P0A9X9	7,403
P0ABK7	15,882
P0A982	7,720
P69913	6,856
P0ACF4	9,226
P0A6K3	19,328
P06968	16,287
P52627	21,658
P0ABH0	45,330
P0AC47	27,123
P05042	50,489
P0AFP6	26,892
P0AEQ3	27,190
P32056	18,273
P37902	33,420
P63224	20,815
P06989	22,756
P77668	28,101
P0CF25	19,565
P0ADF8	11,106
P11988	53,161
P0AB40	8,815
P39396	77,324
P39333	24,598
P00864	99,063
P17583	41,361
P16703	32,664
P28248	21,249
P46139	45,989
P33235	57,930
P0AEP3	32,942
P15067	73,577
P09832	52,015
P0CF69	11,543
P37686	40,351
P32721	56,745
P0ABP8	25,950
P0A9P6	70,546
P0A9P0	50,688
P03007	27,099
P0A9B6	37,299
P06846	36,210
P0AB01	28,666
P0A6R3	11,240
P0AC05	26,928
P05825	82,107
P0AEN8	15,473
P37666	35,396
P39835	45,967
P28721	26,352
P0AC55	12,259
P27305	34,868
P17115	34,031
P17446	21,815
Q46899	40,025
P31456	40,142
P06961	46,467
P07364	32,849
P0ABH9	84,207
P24171	77,516
P0AEE8	32,100
Q47150	9,406
P56262	29,425
P76129	90,260
P0ABQ4	17,999
P77307	28,165
P37009	39,059
P0ABY4	19,700
P0ABX2	13,968
P0ABW9	15,240
P63201	28,028
P0A9R7	24,439
P75884	24,268
P75883	27,296
P69937	10,900
P77454	32,903
Q46915	48,850
P0A8R9	31,746
P28631	36,937
P04395	31,393
P0ABG1	31,454
P0DM85	84,371
P76113	37,610
P77485	53,738
P45568	43,388
P32669	23,555
P0AC30	38,544
P0A9S1	40,513
P0A998	19,424
P31120	47,544
P18956	61,768
P75796	69,114
P09127	42,963
P19930	21,546
P0AAM7	8,808
P0A6H5	49,594
P32720	34,316
P26459	57,920
P75952	23,362
P15042	73,606
P36837	53,575
P24077	43,282
P0ACL2	29,836
P0AA78	46,892
P76541	22,788
P0A8V6	26,969
P0ABV2	15,527
P0ADH5	22,993
P24216	48,456
P45541	31,169
P0ACC7	49,190
P37338	24,991
P0AC88	42,047
Q47140	20,579
Q46916	49,142
P52094	24,649
P69681	44,515
P08331	70,832
P0AE95	14,879
P0A976	7,563
P0A6J3	29,305
P0ABK5	34,490
P11557	46,162
P76245	38,546
P21189	90,053
P00582	103,118
P31545	46,754
P06616	33,810
P75855	18,680
P77445	49,022
P76553	41,031
P26608	14,950
P22586	12,670
P16869	81,233
P75933	23,519
P0AD68	63,877
P0A8Q0	15,015
P30870	108,418
P0AFU4	49,148
P75767	32,788
P0AES9	11,858
P06987	40,278
Q46807	33,071
P0AB96	15,853
P76474	14,085
P0A972	7,463
P08401	52,176
P0AEA8	49,951
P0AA82	43,650
P0ABK2	42,453
P38038	66,270
P31129	33,863
P71301	23,274
P0AA86	20,809
P75857	95,242
P10378	59,112
P15031	28,191
P06971	82,182
P0A9C3	38,190
P27249	102,390
P77695	6,548
P0A6A3	43,290
P77744	34,058
P45565	22,257
P0A6C8	27,160
P76216	49,299
P0ABA4	19,332
P0AE85	18,965
P77239	44,305
P00861	46,177
P0A6L0	27,734
P76147	34,322
P77381	55,256
P31460	26,080
P0ABZ1	36,776
P52612	49,316
P32176	112,549
P13036	85,322
P43533	15,867
P0ABY7	21,566
P77733	30,565
P0AC16	13,620
P09148	39,646
P05523	30,290
P0A6T5	24,831
P75793	90,125
P09394	40,843
P31440	46,934
P42601	35,909
P31441	63,739
P08203	25,519
P0AE30	24,914
P13001	28,505
P13000	24,140
P66948	53,908
P77395	31,791
P09549	22,938
P0ABP3	48,412
P06965	8,578
P0ABR1	8,949
Q6BF17	42,523
P64426	49,574
P21177	79,594
P0ABU7	26,287
P15030	34,893
P0AC07	9,632
P31697	26,689
P29744	34,281
P75937	42,045
P52073	38,361
Q46839	58,920
P64646	6,555
P68688	9,685
P75989	28,265
Q46898	25,209
P16676	41,059
P15877	86,747
P06710	71,138
P0ABT2	18,695
P77202	27,495
P19925	23,259
P0A6R0	33,515
P09030	30,969
P0AAI9	32,417
P0AAI5	43,046
P0AEL0	24,606
Q47208	58,596
P25798	60,589
P0A6S3	38,169
P0AEM4	10,341
P75936	23,575
P0A6T1	61,530
P11553	52,259
P75913	35,343
Q46851	38,832
P37689	56,194
P31224	113,574
P76473	62,543
P0AC38	52,356
P0AE76	20,164
P17854	27,976
P0AD01	27,488
P37195	20,408
P0A830	45,436
P75908	51,783
P0ACK5	28,548
P0AEG8	6,946
P0ADB7	4,810
P37661	63,804
P30845	61,667
P0AEH3	17,420
P37690	46,595
P77277	30,082
P06974	37,849
P15028	33,146
P28861	27,751
P0A6S5	11,622
P11663	19,272
P0A9S5	38,712
P37747	42,966
P75882	78,687
P0AF61	11,468
P00963	36,651
P75974	25,095
P56100	4,042
P77463	31,971
P30863	29,437
Q46857	31,110
P69853	23,345
P0AEG1	32,308
P0A6P7	23,561
P11454	141,991
P10384	48,542
P77279	25,382
P0AC53	55,704
P0AEN1	26,242
P0AAI3	70,708
P77213	41,688
P0A9F6	34,402
P0A932	41,741
P0ACK2	29,572
P06134	39,324
P25550	46,513
P0AE78	33,298
P0AEB0	32,538
P0AAE0	51,660
P15078	75,105
P77268	36,100
P31459	31,374
P06149	64,612
P0A8J2	19,455
P0AAG0	35,844
P60566	27,144
P20605	22,960
P0A8T5	11,127
P0AEL6	34,283
P23876	33,871
P39405	30,113
P39829	56,402
P63204	20,599
P0A9I3	20,769
P0ACL5	28,826
P0AF52	45,711
P0AEQ1	13,737
P31553	56,587
P39206	21,244
Q46901	55,901
P0AED7	41,269
P0ABS1	17,528
P06966	15,656
P39276	53,055
P66899	43,328
P36943	33,175
P77188	24,517
P0A6C1	31,480
P06136	31,434
P03024	37,094
P45539	47,577
P20099	85,851
P75733	52,780
P77308	37,345
P77302	46,452
P28303	49,646
P76250	34,631
P23847	60,294
P0A6Q6	17,033
P0ABY2	13,829
P69380	32,927
P0A9A6	40,324
P09147	37,265
P77674	50,830
P77580	33,442
P0A6E4	49,898
P0A978	7,781
P0A9D4	29,317
P0AEA5	32,248
P0A9D8	29,892
P32695	38,468
P0A6M4	15,950
P0A8Y8	14,970
P76938	21,146
P76555	25,418
P65643	30,172
P75717	10,509
P31068	25,050
P0ABX8	17,221
P42593	72,678
P76503	46,531
P10121	54,513
P0ACR0	34,512
P37047	43,687
P0ABP6	24,510
P0ACJ5	17,437
P39099	47,205
P0ACB0	52,390
P0AA76	47,077
P10443	129,905
P0ADB4	4,359
P0A6P9	45,655
P0ACT2	25,198
P76556	17,659
P0ABF4	9,866
P0A953	42,613
P76297	14,059
P69902	45,828
P0ACX5	7,907
P75820	31,072
P75980	17,609
P0A9H7	43,909
P0AE88	26,312
P24251	15,655
P0AEC8	60,551
P76014	22,632
P69054	14,299
P0AFX7	24,321
C1P601	9,463
P0A814	18,747
P75869	24,147
P0AAR0	14,557
P36673	34,531
P12295	25,693
P76372	36,455
P0AB52	12,693
P40876	25,853
P75859	18,914
P0AFR9	28,722
P76057	8,456
P64439	14,203
P76066	20,050
P77260	53,685
P77804	54,689
P77504	89,332
P45570	19,530
P77806	42,963
P0A8J4	9,827
Q47156	11,234
P62768	15,096
P77365	16,815
P37648	55,527
C1P621	2,056
P37772	34,978
P76118	8,270
P0DPN3	5,943
P33368	26,951
P55140	32,206
P76280	24,395
P32129	36,289
P52102	9,791
P76257	70,378
P42598	25,480
P0ADW8	7,599
P39277	44,778
P0DPO4	4,013
P0A8A2	25,867
P33347	12,603
P52048	45,818
P76484	27,991
Q46793	27,365
P76419	34,385
P45472	11,270
P52044	34,674
P42620	37,386
P0DSG9	2,925
P64570	8,114
P76613	18,024
P64429	31,460
Q47539	29,812
P31549	59,533
P0AGG0	35,071
P45532	13,641
P39306	25,278
P21503	41,432
P75839	26,282
P22525	67,812
P08245	11,396
P75617	26,665
P30143	51,663
P21361	6,002
A5A614	6,441
P77615	36,134
P77409	29,583
P0DSE6	1,172
P30864	33,776
P28916	28,865
P75748	39,539
P0DPN0	2,629
P75763	51,351
P77297	32,266
P75777	36,416
P0A8E5	13,942
P46119	10,521
P37663	25,951
P39298	27,588
P64459	8,709
P0AF86	10,149
P77759	26,960
Q2EES3	12,969
P39357	47,004
P37643	47,208
P0AAS0	18,267
P39379	23,793
P31433	62,272
P0AD53	13,066
P31448	62,085
P0DPM8	4,630
P0AGJ5	37,784
P76536	33,052
Q7DFV3	10,807
P64619	7,204
P52141	11,737
P08370	14,973
Q46789	8,055
P32681	26,317
P76418	35,621
P76361	57,237
P75979	6,381
P0DN74	9,556
P39832	27,729
P32672	37,086
P15639	57,329
P40719	50,282
P0A7G2	15,154
P25740	42,284
P25742	38,731
P27128	39,423
P37746	45,383
P00452	85,775
P0C018	12,770
P0A7Q6	4,364
P0A7M9	7,871
P0A7S3	13,737
P0AC98	20,071
P45581	22,020
P10905	33,264
P26602	18,777
Q46821	51,758
P37443	84,474
P76197	44,608
P76100	35,849
P76108	42,295
P60869	60,351
P76061	5,194
P76046	52,609
P77481	40,147
P77400	45,659
P77174	23,943
P62066	12,100
P77221	50,374
P0AFP9	41,566
P30177	35,049
P75828	63,589
P75791	47,329
P39367	27,354
P39358	70,017
P23839	33,175
P0A8Y1	25,301
P0ADD2	17,047
P60872	58,939
P32109	26,447
P37673	17,549
Q46904	46,393
Q46906	20,786
P75704	10,618
P77252	26,004
P33634	33,243
A5A612	7,362
P0DPO0	7,677
P28917	43,079
P31991	18,907
P33014	8,148
P76359	27,074
P76092	65,456
P64485	8,671
Q46832	20,395
P0AFR0	33,067
P0ACU2	23,688
P39361	29,268
P0A832	18,269
P39414	52,906
Q46799	81,321
P51024	19,923
P43674	26,740
P76220	24,125
P0AD19	24,470
P31475	26,076
P0DPP2	6,058
P33020	39,710
P62723	36,882
P45524	38,495
P28911	14,531
P42592	88,321
P45551	13,528
P64631	12,479
P77658	37,060
P32151	39,294
P0ADR2	14,333
P75962	17,416
P0ADU7	16,548
P76269	48,152
P0DPP7	6,810
P0DSG3	3,188
P56256	17,459
P0DSH1	2,605
P45795	10,007
Q46831	24,614
P77315	34,483
P64542	13,263
P68191	5,096
P0A7F6	30,385
P60906	47,029
P30139	26,896
P00909	49,492
P76403	51,193
P39165	52,100
P64476	7,266
P0A8X4	24,594
P77704	30,810
P76042	46,808
P0DP64	20,482
P39220	24,791
P37007	43,769
P77607	27,274
Q2MB16	8,514
P11286	12,555
P78067	48,229
P0ADD7	27,032
P76226	22,752
P31455	46,187
P0ACA1	22,545
P27238	14,910
P77180	25,589
P76239	3,772
P11289	13,204
P67624	8,470
P33916	58,726
P52133	26,606
P45768	41,484
P64445	9,339
P76485	16,163
P33341	92,282
P76515	13,672
P45505	7,517
A5A630	10,257
P0AF36	9,635
P46879	9,519
P52134	7,703
P02359	20,019
P0AG03	20,695
P03018	81,990
P0A8S5	13,027
P37387	35,734
P27835	51,517
P75688	7,854
P0A8L5	17,910
P75961	28,865
P31131	18,321
P0A8R7	39,392
P77368	19,476
P30979	35,960
P76119	27,838
P31449	33,958
P76222	20,533
P39407	39,832
P37682	37,274
P76573	20,230
P0DPM9	8,638
P77601	28,475
P0AD49	12,785
P0AAL9	11,798
P0AA57	13,410
P0ADU5	14,011
P52007	21,205
P32668	22,955
P76499	18,951
P33348	39,682
P77599	27,728
P64499	10,792
P0ABW3	9,293
P0AA37	24,861
P62399	20,302
P0AGB6	21,696
P0A7T7	8,986
P0A7V8	23,469
P18392	49,283
P21888	52,202
P0A8U0	20,708
P30140	43,320
P23849	53,944
P25535	44,245
P0A8G0	68,188
P76387	79,343
P75836	34,294
P77726	48,810
P76514	20,255
P75862	20,589
P39902	19,348
P37774	27,677
P00954	37,438
P13482	63,637
P52005	40,286
P69822	10,896
P69820	17,238
P0AG80	48,449
Q47706	46,648
P0ACT6	21,799
P37440	27,850
P25534	42,288
P39161	29,308
P0ACC9	17,616
P77748	113,248
P0AA63	24,585
P0A9W9	20,245
P45394	34,741
P0DSF8	5,068
C1P618	2,979
Q46941	24,287
P75966	24,880
P0A776	20,795
P76053	21,512
P0AG78	36,659
P0AFS7	39,841
P75954	34,636
P77561	83,495
P76063	10,976
P46890	64,992
P76192	77,877
P77506	9,404
P37003	24,604
P75750	90,128
P75931	33,682
P75692	8,890
P75693	24,811
P0AAX8	33,325
P0AF78	25,334
P64448	6,840
A5A615	3,538
P0A8X0	21,359
P39284	12,638
P39349	13,956
P0DPN6	2,716
P25531	25,343
Q47702	13,732
Q2EES1	4,115
C1P602	3,458
P55734	18,639
P76547	22,907
P27840	27,908
P0ADN6	7,177
P0AEC0	56,528
P46853	38,765
P39834	19,494
P0CD93	2,465
P0AGM0	38,522
P67143	21,490
P0AA70	32,194
P37615	13,496
P45549	44,560
P65807	44,804
P45804	64,637
P75982	21,644
P32162	10,776
P0AFU2	65,872
P76656	38,555
P31667	33,267
P36929	48,348
P76182	38,140
P0AGL2	14,007
Q2EES9	7,678
P0AF67	16,853
P0A9P4	34,623
P39301	50,737
P37052	16,990
P75946	13,981
P75860	18,512
P76134	44,518
P76001	13,414
P25907	86,716
P31126	42,659
P18393	8,271
P52096	14,737
P0AAV6	12,872
P0A8Z3	15,562
P75788	41,169
P37676	35,970
P0ADQ7	11,847
P31471	42,755
P77162	17,026
P64493	8,942
P37767	30,708
P64548	18,978
P32717	73,151
P39173	32,666
P77031	46,831
P05707	27,858
P21889	65,913
P00962	63,478
P0ACQ7	34,539
P0AGF6	35,232
P39321	136,780
P0AGJ2	25,343
P31825	27,270
P45531	13,045
P0AAZ7	6,855
P76157	5,639
P0ADP0	27,122
P52598	27,435
P64490	10,835
P0ACR4	32,724
C1P5Z8	3,999
P64536	9,264
Q46866	17,827
P45546	46,516
P32689	78,491
P0AF48	15,656
P42625	5,961
P0AD03	48,273
P76500	17,890
P0AA49	33,616
P76520	22,977
P0ADW6	34,607
P58037	6,027
P65298	9,513
P37348	31,479
P64610	24,345
C1P613	3,203
A5A628	10,049
Q46939	41,019
Q47538	28,297
P08956	134,095
P28904	63,838
P04693	43,538
P07650	47,207
P0A6A0	63,203
P24215	44,838
P32057	44,914
P37749	37,757
P76206	27,607
P76219	26,058
P0AF59	8,550
P75978	50,871
P09154	15,434
P45421	19,193
P64503	8,753
Q2M5U1	5,536
P76417	47,359
A5A621	2,408
P16659	63,693
P0AEM9	29,039
P0AAD8	48,879
P23173	45,211
P0A879	42,983
P24188	39,781
P39300	40,061
P0A8F8	76,226
P46888	15,633
P76214	21,577
P0ACI3	44,869
P77414	33,035
P0AG00	39,489
P75870	81,668
P0AB03	34,488
P75874	14,701
P76160	12,091
P46136	31,539
P0AAT4	46,603
P77228	46,267
P33128	27,054
P0DPM7	2,330
P77294	18,144
P75711	10,844
P30866	22,991
P0AAV0	10,932
P75741	43,161
P37662	42,951
P56259	16,873
A5A605	18,118
P0AD44	27,348
P28638	33,397
P45767	43,261
Q46798	26,565
P33015	38,100
P45423	43,293
P77196	97,490
P77288	19,851
P77656	16,408
P33219	12,962
P28722	25,339
P0A766	20,898
P76149	49,718
P0AG96	13,643
P04805	53,816
P07118	108,192
P0AGJ9	47,527
P0A850	48,193
P76422	28,634
P77326	12,658
P33225	94,456
P07023	42,043
P0AGK1	32,512
P09836	48,257
P0A8P6	33,868
P0A8D3	16,969
P77714	10,724
P76230	49,602
P75955	40,834
P21418	8,350
P21362	18,597
A5A613	7,102
P76044	29,832
P76187	33,676
P76177	33,903
P0AAT2	14,050
P0AB28	19,315
A5A607	7,521
P39353	41,384
P76538	17,168
P76630	26,108
P0ADN2	13,134
P76546	15,729
P67729	43,574
P75678	31,892
P52123	37,139
C1P603	2,691
P52132	31,255
P58034	8,255
P63389	71,843
P52126	83,062
P42590	52,147
P45566	9,098
P46837	85,120
P32688	26,281
P32680	22,613
P76090	22,524
P0DSF6	1,630
P0A8D9	17,213
P76231	10,338
P39282	54,725
P36928	49,371
P76513	30,443
P38521	12,881
P64540	10,000
P33360	34,425
P0A8R4	8,214
P00956	104,297
P76155	21,338
P02930	53,741
P0AAN5	7,281
P42624	25,895
P63417	18,534
P52052	35,994
P69346	9,308
P65556	20,376
P0A8Y3	22,732
P76235	49,392
P76234	30,987
P76539	16,312
P76585	123,832
P0ACS2	17,150
P75970	9,287
P45563	29,835
P77280	37,701
P75863	40,644
P75843	47,656
P75829	38,358
P76064	15,743
P0AAY6	17,666
P0AB61	9,386
P76004	23,711
P64455	8,800
P0AB43	12,415
P0ACR2	35,250
P77552	42,876
Q2EEP9	6,953
Q47157	15,488
P77354	12,136
P21829	30,201
P77713	60,825
P37641	33,330
P39293	25,009
P0AF80	14,224
P39408	28,909
P39359	32,722
P0DP22	21,769
P76148	13,544
P31453	27,328
P37664	17,104
P39374	30,593
P45550	42,294
P0AGH1	41,062
P68206	8,325
P0AFJ1	12,345
P76308	11,741
P0DSF1	1,992
P16681	16,171
P76406	11,465
P76068	9,787
P32167	23,140
Q46786	16,878
P32136	51,574
P64483	17,851
Q46845	32,392
P76421	31,604
Q46834	37,349
P46856	15,950
P42915	93,616
P77163	21,337
P0A855	45,956
P76198	46,080
P75835	52,496
P76017	99,685
P29013	60,814
P34209	29,706
P21365	26,419
P75616	11,355
P28696	14,482
P0AAZ0	18,518
P0A9T6	13,171
P77316	44,176
P64517	6,678
P0ADC8	7,729
P0A9V5	11,033
P31443	19,188
P39390	6,709
P37691	35,353
P39836	36,406
P27862	21,757
P67338	6,554
P0AEB7	12,493
P76549	14,554
P77536	53,052
P52139	17,303
Q2EER5	6,725
A0A385XJK5	5,325
P76073	8,751
P11865	20,577
P0A8M6	12,778
P32139	34,010
P76521	8,874
P33355	17,973
P56614	5,883
Q7DFU6	12,628
P64612	43,064
P43319	38,535
P63340	45,099
P0DPP5	3,191
P77396	32,356
P69425	18,421
P08957	59,307
P0AA25	11,807
P0AFZ7	52,960
Q46948	20,777
P0AAQ0	8,097
P31130	14,121
P76065	32,509
P0ACW0	5,769
P0A8I3	29,586
P75620	7,890
P76034	27,603
P0DPO6	1,481
P0AFP4	29,410
P45807	6,025
P76186	75,267
P0DPN5	3,827
P37909	19,838
P75684	15,411
P75676	17,420
P29217	24,177
P0AAA1	22,967
P0AFQ2	42,060
Q2EEQ3	10,634
P32108	13,866
P77295	10,596
P0ADP9	10,273
P0ADJ8	16,123
P75677	9,014
P76548	13,819
P0CB62	5,337
P0DPN9	4,303
P0ADT2	23,479
P0AD07	8,239
P32137	50,982
P11864	45,251
P33011	39,955
P33340	36,885
P76501	17,890
P0A8W8	19,536
P33349	83,390
P77306	60,700
P39304	23,578
P09835	56,306
P0A6L7	54,808
P0A8G3	53,987
P09099	52,618
P37750	21,675
P0AAA7	44,960
P67127	26,157
P33353	67,730
Q6BEX0	55,260
P76344	24,762
P0AA93	62,657
P27859	28,974
P0A8M3	74,014
P30138	26,970
P0AAQ2	13,364
P0A8Z0	14,231
P76000	16,533
P38394	6,584
P31826	64,985
P76154	8,778
P32051	136,515
P39830	59,424
P77339	29,606
P77206	31,051
Q2EEQ8	9,555
P46130	46,082
P0AAW5	15,465
P36682	69,362
P39355	8,714
P39342	54,332
Q9Z3A0	13,085
Q46907	30,308
P33941	61,553
P27843	14,408
P76227	9,947
P0ADL3	17,219
P76545	13,778
P37675	45,368
P64496	6,608
P0DPN8	1,589
P0AFU0	40,360
P52140	17,964
P32690	51,708
P76362	16,557
P0ADS6	26,635
P0AD35	14,401
P0ACM5	28,277
P33362	32,609
P0ACN2	14,075
P76559	38,746
P0A7D7	26,995
Q46920	32,588
P77756	25,514
P36767	33,993
P33230	7,863
P31473	56,389
P02413	14,980
P76104	72,702
P30014	23,523
P21338	29,618
P75719	17,226
P08312	36,832
P69428	9,664
P42632	85,936
P0AF96	16,865
P77699	21,203
P76055	35,561
P32155	16,094
P17334	48,332
P0A7K6	13,133
P0A7L0	24,730
P0ADY3	13,541
P68919	10,693
P60422	29,860
P0ADR6	41,905
P61887	32,734
P09155	42,734
P31548	24,999
P0A9W0	27,602
P0ACL9	29,425
P75794	33,038
P43671	60,520
P07004	44,630
P31660	43,102
P0C0L7	54,846
P76502	17,208
P60778	43,166
P32701	60,801
P0AFK9	38,867
P31134	41,931
P69816	11,248
P32684	32,477
P63177	26,557
P0A7R5	11,736
P0A7V0	26,744
P0DPC7	6,229
Q47319	25,995
P0A853	52,773
A5A627	3,222
P0ABU9	25,598
P45527	37,047
P07649	30,400
P77334	74,665
P77489	78,088
P77366	23,565
P0AFL3	20,431
P0ADR8	50,972
P39199	35,002
P25889	45,069
P52130	13,665
P23721	39,783
P27253	77,871
P51025	31,424
P33595	63,975
Q46812	48,842
P76072	113,780
P37610	32,410
P0AC35	22,679
P76256	25,181
